Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Atlantic City Casino Industry Slot Win Data,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,For Calendar Year 2024,,,,,,
,,,$.01 and .02 Slot Machines,,,,$.05 Slot Machines $.25 Slot Machines,,,,,$.50 Slot Machines,
Casino,,Win,Handle,Win %,,Win,Handle Win % Win Handle,,Win %,,Win,Handle,Win %
Bally's AC,,"37,228,524","318,383,838",11.7,,"497,356","3,089,019 16.1 5 ,933,140 5 9,178,529",,10.0,,"1 ,756,140","3 2,419,560",5.4
Borgata,,"173,341,291","1,120,548,202",15.5,,"13,477,961","9 5,204,281 14.2 25,030,538 162,518,266",,15.4,,"2 ,681,069","4 0,026,815",6.7
Caesars,,"46,506,226","380,123,646",12.2,,"2 ,176,509","1 8,270,115 11.9 5 ,519,248 5 8,556,349",,9.4,,,- -,-
Golden Nugget,,"33,770,096","302,103,171",11.2,,,"- - - 392,169 5,622,647",,7.0,,"64,051","1,192,567",5.4
Hard Rock,,"101,186,742","931,329,290",10.9,,"2 ,388,894","2 3,253,002 10.3 10,952,334 107,460,049",,10.2,,"115,700","769,170",15.0
Harrah's,,"56,599,492","399,348,458",14.2,,"3 ,150,947","5 9,934,137 5.3 5 ,438,495 6 4,587,051",,8.4,,"3 ,211,136","6 3,635,375",5.0
Ocean Resort,,"199,243,245","1,893,606,801",10.5,,"18,131,527","244,722,924 7.4 10,728,303 128,640,926",,8.3,,"2 ,621,520","4 7,277,739",5.5
Resorts,,"52,184,997","471,013,642",11.1,,"79,297","785,086 10.1 4 ,477,276 5 7,342,794",,7.8,,"1 ,744,391","2 8,622,360",6.1
Tropicana,,"68,080,690","574,776,647",11.8,,"537,912","9,735,675 5.5 2 ,441,075 4 6,339,587",,5.3,,"1 ,721,722","3 2,115,475",5.4
Total,$,"768,141,303","$6,391,233,695",12.0,$,"40,440,403","$454,994,239 8.9 $70,912,578 $690,246,198",,10.3,$,"13,915,729","$246,059,061",5.7
,,,$1.00 Slot Machines,,,,$5.00  Slot Machines $25.00 Slot Machines,,,,,$100 Slot Machines,
Casino,,Win,Handle,Win %,,Win,Handle Win % Win Handle,,Win %,,Win,Handle,Win %
Bally's AC,,"7 ,263,667","104,653,458",6.9,,"1 ,176,052","1 6,773,390 7.0 52,255 1,304,975",,4.0,,"102,286","2,248,100",4.5
Borgata,,"35,550,063","353,637,234",10.1,,"6 ,104,842","5 7,142,179 10.7 2 ,258,648 1 6,977,250",,13.3,,"2 ,208,115","2 0,094,700",11.0
Caesars,,"8 ,735,241","8 3,876,395",10.4,,"3 ,895,800","100,207,935 3.9 1 ,353,349 1 0,974,575",,12.3,,"933,900","8,803,600",10.6
Golden Nugget,,"10,287,067","119,940,809",8.6,,"711,669","1 0,990,690 6.5 511,410 5,651,625",,9.0,,"427,246","3,963,500",10.8
Hard Rock,,"15,800,105","165,880,361",9.5,,"2 ,687,514","3 1,798,500 8.5 267,495 3,463,750",,7.7,,"762,426","1 2,235,200",6.2
Harrah's,,"11,541,904","147,093,796",7.8,,"3 ,129,050","3 9,448,375 7.9 952,512 3 0,069,000",,3.2,,"1 ,871,415","1 2,254,100",15.3
Ocean Resort,,"31,420,321","397,373,405",7.9,,"3 ,147,302","3 1,937,740 9.9 63,749 2,241,375",,2.8,,"838,545","7,869,700",10.7
Resorts,,"9 ,256,918","123,652,942",7.5,,"812,449","1 2,492,770 6.5 797,115 7,793,125",,10.2,,"705,592","8,512,000",8.3
Tropicana,,"18,247,433","247,006,367",7.4,,"2 ,534,903","3 9,749,738 6.4 959,675 1 6,425,800",,5.8,,"(15,500)","2,773,900",-0.6
Total,$,"148,102,719","$1,743,114,767",8.5,$,"24,199,581","$340,541,317 7.1 $7,216,208 $94,901,475",,7.6,$,"7,834,025","$78,754,800",9.9
,,,Multi-denominational,,,,Other Slot Machines Total Slot Machines,,,,,,
Casino,,Win,Handle,Win %,,Win,Handle Win % Win Handle,,Win %,,,,
Bally's AC,,"58,506,661","604,269,513",9.7,,"233,072","3,860,072 6.0 112,749,153 1,146,180,454",,9.8,,,,
Borgata,,"244,431,624","3,721,125,863",6.6,,"22,244,559","299,261,784 7.4 527,328,710 5,886,536,574",,9.0,,,,
Caesars,,"87,280,802","969,842,315",9.0,,"1 ,648,368","2 4,190,167 6.8 158,049,443 1,654,845,097",,9.6,,,,
Golden Nugget,,"68,205,315","725,495,819",9.4,,"763,844","1 1,915,620 6.4 115,132,867 1,186,876,448",,9.7,,,,
Hard Rock,,"246,258,747","2,798,676,606",8.8,,"1 ,181,820","1 9,906,788 5.9 381,601,777 4,094,772,716",,9.3,,,,
Harrah's,,"89,770,157","1,316,200,460",6.8,,"3 ,571,853","7,775,616 45.9 179,236,961 2,140,346,368",,8.4,,,,
Ocean Resort,,"22,400,785","281,874,292",7.9,,"20,937,199","218,455,026 9.6 309,532,496 3,253,999,928",,9.5,,,,
Resorts,,"62,865,474","668,808,358",9.4,,"514,491","3,798,951 13.5 133,438,000 1,382,822,028",,9.6,,,,
Tropicana,,"84,091,339","840,472,298",10.0,,"457,321","3,656,242 12.5 179,056,570 1,813,051,729",,9.9,,,,
Total,$,"963,810,904","$11,926,765,524",8.1,$,"51,552,527","$592,820,266 8.7 $2,096,125,977 $22,559,431,342",,9.3,,,,
,,,,,,,,,,,,,As of 7/11/2025
